Status,Age Group,Education,AI Risk,Years of Experience,Monthly Salary (INR),Industry_Education,Industry_Finance,Industry_Healthcare,Industry_Retail,Industry_Technology,Location_Bangalore,Location_Delhi,Location_Hyderabad,Location_Mumbai,Location_Rural,Location_Suburban,Location_Urban,Year,Month,Day
1,2,1,3,18.0,40700.0,0,0,0,0,1,0,0,0,0,0,0,1,2023,1,1
1,1,2,2,15.0,17500.0,0,1,0,0,0,0,0,0,0,1,0,0,2023,1,2
1,2,1,1,16.0,77600.0,0,0,0,1,0,0,1,0,0,0,0,0,2023,1,3
0,1,4,1,30.0,100200.0,0,0,0,1,0,0,0,0,0,0,0,1,2023,1,4
1,4,2,1,9.0,19500.0,0,1,0,0,0,0,0,1,0,0,0,0,2023,1,5
0,2,5,3,18.0,54500.0,0,0,0,0,1,1,0,0,0,0,0,0,2023,1,6
1,3,4,2,20.0,136500.0,0,0,0,1,0,0,0,0,1,0,0,0,2023,1,7
0,3,4,1,28.0,25300.0,0,0,0,1,0,0,0,0,0,1,0,0,2023,1,8
1,3,5,2,0.0,103600.0,0,0,0,1,0,0,0,0,0,0,0,1,2023,1,9
0,5,5,3,3.0,126500.0,0,0,0,0,1,0,0,0,0,0,0,1,2023,1,10
0,4,4,3,15.0,73400.0,0,0,0,1,0,1,0,0,0,0,0,0,2023,1,11
0,4,1,3,15.0,27000.0,0,0,0,0,1,0,1,0,0,0,0,0,2023,1,12
0,3,1,3,14.5,81500.0,0,0,0,1,0,0,1,0,0,0,0,0,2023,1,13
1,1,5,1,15.0,121700.0,0,0,0,0,1,0,0,0,0,1,0,0,2023,1,14
1,4,1,1,15.0,132100.0,0,0,1,0,0,0,0,0,0,0,0,1,2023,1,15
0,1,3,2,18.0,28700.0,0,0,1,0,0,1,0,0,0,0,0,0,2023,1,16
1,2,1,1,18.0,109300.0,0,0,0,1,0,0,0,0,0,0,0,1,2023,1,17
1,1,5,3,6.0,136000.0,0,0,0,0,1,0,0,0,0,1,0,0,2023,1,18
0,2,3,1,18.0,62400.0,0,1,0,0,0,0,0,0,0,1,0,0,2023,1,19
1,1,3,2,0.0,101100.0,0,0,0,1,0,0,1,0,0,0,0,0,2023,1,20
0,3,1,1,14.5,108000.0,0,0,0,1,0,0,0,1,0,0,0,0,2023,1,21
0,1,3,2,5.0,128000.0,0,0,1,0,0,0,1,0,0,0,0,0,2023,1,22
1,3,3,3,5.0,125000.0,0,0,1,0,0,0,0,1,0,0,0,0,2023,1,23
1,1,4,3,15.0,78100.0,0,0,0,1,0,0,1,0,0,0,0,0,2023,1,24
0,2,5,2,24.0,107700.0,0,0,0,0,1,0,0,1,0,0,0,0,2023,1,25
0,1,4,1,18.0,74700.0,0,0,1,0,0,1,0,0,0,0,0,0,2023,1,26
1,1,3,2,15.0,59000.0,0,0,0,0,1,0,0,0,0,1,0,0,2023,1,27
0,1,3,2,12.0,132200.0,0,0,1,0,0,0,1,0,0,0,0,0,2023,1,28
0,3,3,3,22.0,80800.0,1,0,0,0,0,0,0,0,0,0,1,0,2023,1,29
1,1,4,1,15.0,13300.0,0,0,1,0,0,0,0,0,0,0,0,1,2023,1,30
0,1,3,3,15.0,23500.0,0,0,1,0,0,0,0,0,0,0,0,1,2023,1,31
0,2,1,3,18.0,13100.0,0,0,0,0,1,0,0,1,0,0,0,0,2023,2,1
1,2,1,3,2.0,134500.0,0,1,0,0,0,0,0,0,0,0,0,1,2023,2,2
0,4,5,1,8.0,86800.0,0,0,0,1,0,0,0,0,0,0,0,1,2023,2,3
1,1,4,2,15.0,31200.0,0,1,0,0,0,0,0,0,0,0,0,1,2023,2,4
1,5,3,1,16.0,106900.0,0,1,0,0,0,0,0,0,0,0,0,1,2023,2,5
1,1,5,3,15.0,93300.0,0,0,0,1,0,1,0,0,0,0,0,0,2023,2,6
1,1,1,1,15.0,73500.0,0,1,0,0,0,0,0,0,0,0,0,1,2023,2,7
0,2,2,3,9.0,21500.0,0,0,1,0,0,0,0,0,0,0,0,1,2023,2,8
0,1,1,2,15.0,90900.0,0,1,0,0,0,0,0,0,0,0,0,1,2023,2,9
1,4,1,1,3.0,81800.0,0,0,1,0,0,0,0,0,0,0,0,1,2023,2,10
1,2,3,1,25.0,7700.0,0,1,0,0,0,0,1,0,0,0,0,0,2023,2,11
0,4,4,1,10.0,12900.0,0,0,0,0,1,0,0,1,0,0,0,0,2023,2,12
1,2,5,2,1.0,31800.0,0,0,0,1,0,1,0,0,0,0,0,0,2023,2,13
1,2,1,2,11.0,97900.0,0,0,1,0,0,0,0,1,0,0,0,0,2023,2,14
0,1,5,2,4.0,14200.0,0,1,0,0,0,0,0,0,0,1,0,0,2023,2,15
