Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Employed,25-34,High school,Technology,Urban,,,40700.0,2023-01-01
Employed,18-24,Diploma,Finance,Rural,Medium,,17500.0,2023-01-02
Employed,25-34,High school,Retail,Delhi,Low,16.0,77600.0,2023-01-03
Unemployed,18-24,Master's,Retail,Urban,Low,30.0,100200.0,2023-01-04
,45-54,Diploma,Finance,Hyderabad,Low,9.0,19500.0,2023-01-05
Unemployed,25-34,PhD,Technology,Bangalore,High,,54500.0,2023-01-06
Employed,35-44,Master's,,Mumbai,Medium,20.0,136500.0,2023-01-07
Unemployed,35-44,Master's,,Rural,Low,28.0,25300.0,2023-01-08
Employed,35-44,PhD,Retail,,Medium,0.0,103600.0,2023-01-09
Unemployed,55+,PhD,Technology,,,3.0,126500.0,2023-01-10
Unemployed,45-54,Master's,,Bangalore,High,,73400.0,2023-01-11
Unemployed,45-54,High school,Technology,Delhi,High,,27000.0,2023-01-12
Unemployed,35-44,High school,Retail,Delhi,,,,2023-01-13
Employed,18-24,PhD,Technology,Rural,Low,,121700.0,2023-01-14
,45-54,High school,Healthcare,Urban,Low,,132100.0,2023-01-15
Unemployed,18-24,Bachelor’s,Healthcare,Bangalore,Medium,18.0,28700.0,2023-01-16
Employed,25-34,High school,Retail,Urban,Low,,109300.0,2023-01-17
Employed,18-24,PhD,Technology,Rural,,6.0,136000.0,2023-01-18
Unemployed,25-34,,Finance,Rural,Low,,62400.0,2023-01-19
Employed,18-24,,Retail,Delhi,Medium,0.0,101100.0,2023-01-20
Unemployed,35-44,High school,,Hyderabad,Low,,108000.0,2023-01-21
Unemployed,18-24,,Healthcare,Delhi,Medium,5.0,128000.0,2023-01-22
,35-44,Bachelor’s,Healthcare,Hyderabad,High,5.0,125000.0,2023-01-23
Employed,,Master's,Retail,Delhi,,,,2023-01-24
Unemployed,25-34,PhD,Technology,Hyderabad,Medium,24.0,107700.0,2023-01-25
Unemployed,,Master's,Healthcare,Bangalore,Low,18.0,,2023-01-26
Employed,18-24,,Technology,Rural,Medium,,59000.0,2023-01-27
Unemployed,18-24,,Healthcare,Delhi,Medium,12.0,132200.0,2023-01-28
Unemployed,35-44,Bachelor’s,Education,Suburban,,22.0,80800.0,2023-01-29
Employed,18-24,Master's,Healthcare,Urban,Low,15.0,13300.0,2023-01-30
Unemployed,18-24,,Healthcare,,High,,23500.0,2023-01-31
Unemployed,25-34,High school,Technology,Hyderabad,High,,13100.0,2023-02-01
Employed,25-34,High school,Finance,Urban,High,2.0,134500.0,2023-02-02
Unemployed,45-54,PhD,,Urban,Low,8.0,86800.0,2023-02-03
Employed,18-24,Master's,Finance,,Medium,,31200.0,2023-02-04
Employed,55+,,Finance,,Low,,106900.0,2023-02-05
,18-24,PhD,Retail,Bangalore,High,,93300.0,2023-02-06
Employed,18-24,High school,Finance,,Low,,73500.0,2023-02-07
Unemployed,25-34,Diploma,Healthcare,,High,9.0,21500.0,2023-02-08
Unemployed,18-24,High school,Finance,,Medium,,,2023-02-09
Employed,45-54,High school,Healthcare,,Low,3.0,,2023-02-10
Employed,25-34,Bachelor’s,Finance,Delhi,Low,25.0,7700.0,2023-02-11
Unemployed,45-54,Master's,Technology,Hyderabad,Low,10.0,12900.0,2023-02-12
,25-34,PhD,Retail,Bangalore,Medium,1.0,31800.0,2023-02-13
Employed,25-34,High school,Healthcare,Hyderabad,Medium,11.0,97900.0,2023-02-14
Unemployed,18-24,PhD,Finance,Rural,Medium,4.0,14200.0,2023-02-15
Unemployed,25-34,PhD,Retail,Suburban,High,17.0,106500.0,2023-02-16
,25-34,Diploma,Education,Delhi,Low,,39500.0,2023-02-17
,55+,Master's,Retail,,High,30.0,126600.0,2023-02-18
Unemployed,18-24,PhD,Retail,Delhi,High,7.0,15700.0,2023-02-19
Employed,35-44,,Finance,Delhi,High,27.0,115700.0,2023-02-20
Employed,18-24,High school,Retail,Mumbai,Low,,18800.0,2023-02-21
Employed,45-54,Bachelor’s,Technology,Urban,Low,,127400.0,2023-02-22
Employed,,PhD,Finance,Mumbai,High,26.0,21600.0,2023-02-23
Unemployed,45-54,Master's,Healthcare,Delhi,Medium,6.0,42100.0,2023-02-24
Employed,25-34,Master's,Education,Urban,Medium,28.0,137400.0,2023-02-25
Employed,25-34,High school,Healthcare,Bangalore,Low,,,2023-02-26
Unemployed,18-24,High school,Retail,Suburban,,,83000.0,2023-02-27
Unemployed,18-24,Master's,Healthcare,Delhi,Low,24.0,126300.0,2023-02-28
Employed,25-34,PhD,Finance,Suburban,,,,2023-03-01
Unemployed,55+,Diploma,Retail,Suburban,Medium,,26300.0,2023-03-02
Unemployed,25-34,Master's,Education,Mumbai,Low,24.0,78900.0,2023-03-03
Unemployed,18-24,Diploma,Finance,,High,,51000.0,2023-03-04
Employed,18-24,PhD,Technology,Urban,Medium,,48900.0,2023-03-05
,45-54,Diploma,,Urban,Medium,,113200.0,2023-03-06
Unemployed,18-24,Master's,Technology,Rural,Medium,18.0,,2023-03-07
Unemployed,18-24,PhD,,,Medium,,,2023-03-08
Unemployed,45-54,Bachelor’s,Finance,Suburban,Medium,17.0,57200.0,2023-03-09
Employed,45-54,Diploma,Healthcare,Urban,,,84000.0,2023-03-10
Employed,25-34,,,Rural,Low,,63700.0,2023-03-11
Unemployed,25-34,PhD,Retail,Bangalore,Low,,90500.0,2023-03-12
Employed,35-44,High school,Retail,Bangalore,Medium,15.0,33400.0,2023-03-13
Employed,25-34,PhD,Finance,Bangalore,Low,12.0,,2023-03-14
Unemployed,45-54,Diploma,Finance,Rural,High,20.0,130700.0,2023-03-15
